woj,pow,rok,kod,odsetek_ogol,odsetek_kobiety,odsetek_mezczyzni,odsetek_dzieci,liczba_ludnosci,liczba_ludnosci_mezczyzni,liczba_ludnosci_kobiety,liczba_dzieci
dolnośląskie,sredzki,2023,0218000,0.2708192281651997,0.2714477211796247,0.08552856654122476,0.40748566254150315,59080,29230,29840,13252
dolnośląskie,swidnicki,2023,0219000,0.6316069410278572,0.7343329488658209,0.1395413097540757,0.9981555820765976,150410,72380,78030,27651
kujawsko - pomorskie,aleksandrowski,2023,0401000,0.33670033670033667,0.302257829570284,0.04230769230769231,0.8157844811231265,53460,26000,27460,10542
kujawsko - pomorskie,brodnicki,2023,0402000,0.4717830055277028,0.46185251339627453,0.05958549222797927,0.9254002498012944,77790,38600,39190,17614
kujawsko - pomorskie,bydgoski,2023,0403000,0.5103165852890219,0.3796875,0.1794220387424579,0.9789787776175948,126980,62980,64000,29827
kujawsko - pomorskie,chelminski,2023,0404000,0.5618892508143323,0.6130573248407644,0.13333333333333333,0.8842601689919435,49120,24000,25120,10178
kujawsko - pomorskie,golubsko-dobrzynski,2023,0405000,0.5083179297597042,0.5215004574565416,0.11204481792717086,0.8986301369863013,43280,21420,21860,9125
kujawsko - pomorskie,grudziadzki,2023,0406000,0.370464997445069,0.33282130056323606,0.035696073431922486,0.8134611098729663,39140,19610,19530,8974
kujawsko - pomorskie,inowroclawski,2023,0407000,0.4582890541976621,0.40774458263879987,0.07855567805953693,1.1093893076001973,150560,72560,77990,28394
kujawsko - pomorskie,lipnowski,2023,0408000,0.3291786513263023,0.2795425667090216,0.05466237942122187,0.7512086277426553,62580,31100,31480,13445
kujawsko - pomorskie,m. bydgoszcz,2023,0461000,0.29072082835523694,0.32762386481204736,0.04001311905542801,0.5707414254177361,326430,152450,173980,55717
kujawsko - pomorskie,m. grudziadz,2023,0462000,0.9090909090909091,0.6850781417255406,0.09773539928486293,2.6902847469923223,88660,41950,46710,16541
kujawsko - pomorskie,m. torun,2023,0463000,0.1971556194485804,0.2233726392483942,0.044218439089100156,0.3158164281446496,194770,90460,104310,35147
kujawsko - pomorskie,m. wloclawek,2023,0464000,0.5346691796448765,0.6338289962825279,0.15528610933843864,0.7423684523102506,100810,47010,53800,16838
kujawsko - pomorskie,mogilenski,2023,0409000,0.25011473152822394,0.27465105808194507,0.03745318352059925,0.44747734645933546,43580,21360,22210,8939
