LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
667,łódzkie,łódzki wschodni,Nowosolna,wiejska,OPS,301006082000,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,8,8,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X
668,łódzkie,łódzki wschodni,Rzgów,miejsko-wiejska,OPS,301006102000,7,7,X,X,X,X,5,5,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,31,31,X,X,X,X,18,18,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
669,łódzkie,łódzki wschodni,Tuszyn,miejsko-wiejska,OPS,301006113000,17,17,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,18,18,X,X,X,X,9,9,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,53,53,X,X,X,X,36,36,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
670,łódzkie,m. Łódź,M. Łódź,miejska,MOPR,251061011000,1330,1330,X,X,X,X,1441,1441,X,X,X,X,241,241,X,X,X,X,2771,2771,X,X,X,X,1575,1575,X,X,X,X,1199,1199,X,X,X,X,32,32,X,X,X,X,7611,7611,X,X,X,X,3167,3167,X,X,X,X,2051,2051,X,X,X,X,97,97,X,X,X,X,493,493,X,X,X,X,476,476,X,X,X,X,83,83,X,X,X,X,220,220,X,X,X,X,640,640,X,X,X,X,406,406,X,X,X,X,234,234,X,X,X,X,53,53,X,X,X,X,1465,1465,X,X,X,X
671,łódzkie,opoczyński,Białaczów,wiejska,OPS,301007012000,7,7,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,4,4,X,X,X,X,5,5,X,X,X,X,21,21,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
672,łódzkie,opoczyński,Drzewica,miejsko-wiejska,OPS,301007023000,23,23,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,29,29,X,X,X,X,25,25,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,59,59,X,X,X,X,32,32,X,X,X,X,30,30,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,19,19,X,X,X,X
673,łódzkie,opoczyński,Mniszków,wiejska,OPS,301007032000,8,8,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X,22,22,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,7,7,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
674,łódzkie,opoczyński,Opoczno,miejsko-wiejska,OPS,301007043000,51,51,X,X,X,X,19,19,X,X,X,X,3,3,X,X,X,X,70,70,X,X,X,X,12,12,X,X,X,X,57,57,X,X,X,X,1,1,X,X,X,X,269,269,X,X,X,X,157,157,X,X,X,X,61,61,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,88,88,X,X,X,X,50,50,X,X,X,X,38,38,X,X,X,X,0,0,X,X,X,X,31,31,X,X,X,X
675,łódzkie,opoczyński,Paradyż,wiejska,OPS,301007052000,9,9,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,15,15,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
676,łódzkie,opoczyński,Poświętne,wiejska,OPS,301007062000,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,12,12,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
