LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
1523,podkarpackie,sanocki,Sanok,wiejska,OPS,301817052000,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,61,61,X,X,X,X,61,61,X,X,X,X,43,43,X,X,X,X,0,0,X,X,X,X,133,133,X,X,X,X,133,133,X,X,X,X,61,61,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,59,59,X,X,X,X,26,26,X,X,X,X,33,33,X,X,X,X,0,0,X,X,X,X,47,47,X,X,X,X
1524,podkarpackie,sanocki,Tyrawa Wołoska,wiejska,OPS,301817062000,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X
1525,podkarpackie,sanocki,Zagórz,miejsko-wiejska,OPS,301817073000,32,32,X,X,X,X,10,10,X,X,X,X,11,11,X,X,X,X,32,32,X,X,X,X,10,10,X,X,X,X,22,22,X,X,X,X,0,0,X,X,X,X,69,69,X,X,X,X,37,37,X,X,X,X,30,30,X,X,X,X,3,3,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X
1526,podkarpackie,sanocki,Zarszyn,wiejska,OPS,301817082000,25,25,X,X,X,X,16,16,X,X,X,X,5,5,X,X,X,X,51,51,X,X,X,X,32,32,X,X,X,X,17,17,X,X,X,X,2,2,X,X,X,X,108,108,X,X,X,X,46,46,X,X,X,X,27,27,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,5,5,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,18,18,X,X,X,X
1527,podkarpackie,stalowowolski,Bojanów,wiejska,OPS,301818022000,14,14,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,38,38,X,X,X,X,24,24,X,X,X,X,14,14,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X
1528,podkarpackie,stalowowolski,Pysznica,wiejska,OPS,301818032000,15,15,X,X,X,X,12,12,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,8,8,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,53,53,X,X,X,X,53,53,X,X,X,X,17,17,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,10,10,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,8,8,X,X,X,X
1529,podkarpackie,stalowowolski,Radomyśl nad Sanem,wiejska,OPS,301818042000,9,9,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,25,25,X,X,X,X,15,15,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
1530,podkarpackie,stalowowolski,Stalowa Wola,miejska,OPS,301818011000,89,89,X,X,X,X,71,71,X,X,X,X,14,14,X,X,X,X,156,156,X,X,X,X,138,138,X,X,X,X,100,100,X,X,X,X,1,1,X,X,X,X,452,452,X,X,X,X,195,195,X,X,X,X,136,136,X,X,X,X,15,15,X,X,X,X,25,25,X,X,X,X,17,17,X,X,X,X,7,7,X,X,X,X,5,5,X,X,X,X,42,42,X,X,X,X,24,24,X,X,X,X,18,18,X,X,X,X,2,2,X,X,X,X,78,78,X,X,X,X
1531,podkarpackie,stalowowolski,Zaklików,miejsko-wiejska,OPS,301818052000,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
1532,podkarpackie,stalowowolski,Zaleszany,wiejska,OPS,301818062000,36,36,X,X,X,X,10,10,X,X,X,X,4,4,X,X,X,X,39,39,X,X,X,X,35,35,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,103,103,X,X,X,X,62,62,X,X,X,X,31,31,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,27,27,X,X,X,X,15,15,X,X,X,X,12,12,X,X,X,X,3,3,X,X,X,X,21,21,X,X,X,X
1533,podkarpackie,strzyżowski,Czudec,wiejska,OPS,301819012000,28,28,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,22,22,X,X,X,X,22,22,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,38,38,X,X,X,X,38,38,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,4,4,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X
1534,podkarpackie,strzyżowski,Frysztak,wiejska,OPS,301819022000,9,9,X,X,X,X,17,17,X,X,X,X,4,4,X,X,X,X,26,26,X,X,X,X,26,26,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,69,69,X,X,X,X,27,27,X,X,X,X,26,26,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
1535,podkarpackie,strzyżowski,Niebylec,wiejska,OPS,301819032000,20,20,X,X,X,X,2,2,X,X,X,X,22,22,X,X,X,X,23,23,X,X,X,X,21,21,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,50,50,X,X,X,X,23,23,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,24,24,X,X,X,X,14,14,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
1536,podkarpackie,strzyżowski,Strzyżów,miejsko-wiejska,OPS,301819043000,44,44,X,X,X,X,15,15,X,X,X,X,10,10,X,X,X,X,51,51,X,X,X,X,51,51,X,X,X,X,33,33,X,X,X,X,0,0,X,X,X,X,155,155,X,X,X,X,65,65,X,X,X,X,54,54,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,49,49,X,X,X,X
1537,podkarpackie,strzyżowski,Wiśniowa,wiejska,OPS,301819052000,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
1538,podkarpackie,m. Tarnobrzeg,M. Tarnobrzeg,miejska,MOPR,251864011000,94,94,X,X,X,X,47,47,X,X,X,X,14,14,X,X,X,X,130,130,X,X,X,X,130,130,X,X,X,X,55,55,X,X,X,X,0,0,X,X,X,X,453,453,X,X,X,X,312,312,X,X,X,X,123,123,X,X,X,X,7,7,X,X,X,X,24,24,X,X,X,X,43,43,X,X,X,X,7,7,X,X,X,X,18,18,X,X,X,X,146,146,X,X,X,X,55,55,X,X,X,X,91,91,X,X,X,X,5,5,X,X,X,X,80,80,X,X,X,X
1539,podkarpackie,tarnobrzeski,Baranów Sandomierski,miejsko-wiejska,OPS,301820013000,29,29,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,34,34,X,X,X,X,28,28,X,X,X,X,0,0,X,X,X,X,43,43,X,X,X,X,43,43,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,25,25,X,X,X,X
1540,podkarpackie,tarnobrzeski,Gorzyce,wiejska,OPS,301820022000,37,37,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,46,46,X,X,X,X,46,46,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,47,47,X,X,X,X,47,47,X,X,X,X,29,29,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,13,13,X,X,X,X,5,5,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,29,29,X,X,X,X
1541,podkarpackie,tarnobrzeski,Grębów,wiejska,OPS,301820032000,47,47,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,40,40,X,X,X,X,40,40,X,X,X,X,30,30,X,X,X,X,0,0,X,X,X,X,111,111,X,X,X,X,111,111,X,X,X,X,53,53,X,X,X,X,2,2,X,X,X,X,9,9,X,X,X,X,36,36,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,22,22,X,X,X,X,10,10,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,48,48,X,X,X,X
1542,podkarpackie,tarnobrzeski,Nowa Dęba,miejsko-wiejska,OPS,301820043000,31,31,X,X,X,X,13,13,X,X,X,X,6,6,X,X,X,X,44,44,X,X,X,X,44,44,X,X,X,X,44,44,X,X,X,X,0,0,X,X,X,X,72,72,X,X,X,X,72,72,X,X,X,X,41,41,X,X,X,X,3,3,X,X,X,X,13,13,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,20,20,X,X,X,X,9,9,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X
1543,podlaskie,-,-,-,WPS,102000000000,276,276,X,X,X,X,1319,1319,X,X,X,X,569,569,X,X,X,X,3940,3940,X,X,X,X,3252,3252,X,X,X,X,2314,2314,X,X,X,X,69,69,X,X,X,X,11408,11408,X,X,X,X,5968,5968,X,X,X,X,3236,3236,X,X,X,X,152,152,X,X,X,X,526,526,X,X,X,X,827,827,X,X,X,X,67,67,X,X,X,X,172,172,X,X,X,X,1905,1905,X,X,X,X,934,934,X,X,X,X,941,941,X,X,X,X,55,55,X,X,X,X,2626,2626,X,X,X,X
1544,podlaskie,augustowski,Augustów,miejska,OPS,302001011000,12,12,X,X,X,X,53,53,X,X,X,X,17,17,X,X,X,X,141,141,X,X,X,X,133,133,X,X,X,X,65,65,X,X,X,X,5,5,X,X,X,X,398,398,X,X,X,X,244,244,X,X,X,X,111,111,X,X,X,X,2,2,X,X,X,X,25,25,X,X,X,X,20,20,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,113,113,X,X,X,X,60,60,X,X,X,X,53,53,X,X,X,X,1,1,X,X,X,X,83,83,X,X,X,X
1545,podlaskie,augustowski,Augustów,wiejska,OPS,302001022000,0,0,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,15,15,X,X,X,X,12,12,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,42,42,X,X,X,X,42,42,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,24,24,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X
1546,podlaskie,augustowski,Bargłów Kościelny,wiejska,OPS,302001032000,8,8,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,27,27,X,X,X,X,27,27,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,59,59,X,X,X,X,69,69,X,X,X,X,31,31,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,17,17,X,X,X,X,17,17,X,X,X,X,1,1,X,X,X,X,27,27,X,X,X,X
1547,podlaskie,augustowski,Lipsk,miejsko-wiejska,OPS,302001043000,2,2,X,X,X,X,11,11,X,X,X,X,10,10,X,X,X,X,28,28,X,X,X,X,28,28,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,96,96,X,X,X,X,50,50,X,X,X,X,26,26,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,18,18,X,X,X,X,6,6,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,19,19,X,X,X,X
1548,podlaskie,augustowski,Nowinka,wiejska,OPS,302001052000,6,6,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,46,46,X,X,X,X,28,28,X,X,X,X,13,13,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X,6,6,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
1549,podlaskie,augustowski,Płaska,wiejska,OPS,302001062000,0,0,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,13,13,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,18,18,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
1550,podlaskie,augustowski,Sztabin,wiejska,OPS,302001072000,2,2,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,24,24,X,X,X,X,24,24,X,X,X,X,24,24,X,X,X,X,0,0,X,X,X,X,91,91,X,X,X,X,30,30,X,X,X,X,21,21,X,X,X,X,3,3,X,X,X,X,9,9,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X
1551,podlaskie,białostocki,Choroszcz,miejsko-wiejska,OPS,302002013000,1,1,X,X,X,X,7,7,X,X,X,X,2,2,X,X,X,X,33,33,X,X,X,X,31,31,X,X,X,X,24,24,X,X,X,X,2,2,X,X,X,X,92,92,X,X,X,X,43,43,X,X,X,X,26,26,X,X,X,X,4,4,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X,9,9,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X
1552,podlaskie,białostocki,Czarna Białostocka,miejsko-wiejska,OPS,302002023000,5,5,X,X,X,X,7,7,X,X,X,X,6,6,X,X,X,X,37,37,X,X,X,X,36,36,X,X,X,X,22,22,X,X,X,X,1,1,X,X,X,X,117,117,X,X,X,X,61,61,X,X,X,X,29,29,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X,19,19,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,27,27,X,X,X,X
1553,podlaskie,białostocki,Dobrzyniewo Duże,wiejska,OPS,302002032000,2,2,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,27,27,X,X,X,X,27,27,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,107,107,X,X,X,X,31,31,X,X,X,X,22,22,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,23,23,X,X,X,X
1554,podlaskie,białostocki,Gródek,wiejska,OPS,302002042000,7,7,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,21,21,X,X,X,X,16,16,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,61,61,X,X,X,X,40,40,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X,9,9,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X
1555,podlaskie,białostocki,Juchnowiec Kościelny,wiejska,OPS,302002052000,10,10,X,X,X,X,7,7,X,X,X,X,9,9,X,X,X,X,53,53,X,X,X,X,51,51,X,X,X,X,41,41,X,X,X,X,3,3,X,X,X,X,186,186,X,X,X,X,65,65,X,X,X,X,41,41,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,17,17,X,X,X,X,4,4,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,38,38,X,X,X,X
1556,podlaskie,białostocki,Łapy,miejsko-wiejska,OPS,302002063000,1,1,X,X,X,X,15,15,X,X,X,X,1,1,X,X,X,X,48,48,X,X,X,X,45,45,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,52,52,X,X,X,X,52,52,X,X,X,X,44,44,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,38,38,X,X,X,X
1557,podlaskie,białostocki,Michałowo,miejsko-wiejska,OPS,302002073000,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X,18,18,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,56,56,X,X,X,X,25,25,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X
1558,podlaskie,białostocki,Poświętne,wiejska,OPS,302002082000,2,2,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,20,20,X,X,X,X,14,14,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X
1559,podlaskie,białostocki,Supraśl,miejsko-wiejska,OPS,302002093000,1,1,X,X,X,X,31,31,X,X,X,X,1,1,X,X,X,X,65,65,X,X,X,X,65,65,X,X,X,X,45,45,X,X,X,X,1,1,X,X,X,X,219,219,X,X,X,X,64,64,X,X,X,X,41,41,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,10,10,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,13,13,X,X,X,X,9,9,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,25,25,X,X,X,X
1560,podlaskie,białostocki,Suraż,miejsko-wiejska,OPS,302002103000,2,2,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,27,27,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
1561,podlaskie,białostocki,Turośń Kościelna,wiejska,OPS,302002112000,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X,18,18,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,62,62,X,X,X,X,18,18,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
1562,podlaskie,białostocki,Tykocin,miejsko-wiejska,OPS,302002123000,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
1563,podlaskie,białostocki,Wasilków,miejsko-wiejska,OPS,302002133000,14,14,X,X,X,X,13,13,X,X,X,X,2,2,X,X,X,X,63,63,X,X,X,X,63,63,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,82,82,X,X,X,X,117,117,X,X,X,X,51,51,X,X,X,X,5,5,X,X,X,X,12,12,X,X,X,X,49,49,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,17,17,X,X,X,X,8,8,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,55,55,X,X,X,X
1564,podlaskie,białostocki,Zabłudów,miejsko-wiejska,OPS,302002143000,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,27,27,X,X,X,X,25,25,X,X,X,X,17,17,X,X,X,X,1,1,X,X,X,X,77,77,X,X,X,X,18,18,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X
1565,podlaskie,białostocki,Zawady,wiejska,OPS,302002152000,0,0,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
