LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
1290,mazowieckie,wyszkowski,Rząśnik,wiejska,OPS,301435032000,12,12,X,X,X,X
1291,mazowieckie,wyszkowski,Somianka,wiejska,OPS,301435042000,26,26,X,X,X,X
1292,mazowieckie,wyszkowski,Wyszków,miejsko-wiejska,OPS,301435053000,71,71,X,X,X,X
1293,mazowieckie,wyszkowski,Zabrodzie,wiejska,OPS,301435062000,13,13,X,X,X,X
1294,mazowieckie,zwoleński,Kazanów,wiejska,OPS,301436012000,16,16,X,X,X,X
1295,mazowieckie,zwoleński,Policzna,wiejska,OPS,301436022000,12,12,X,X,X,X
1296,mazowieckie,zwoleński,Przyłęk,wiejska,OPS,301436032000,8,8,X,X,X,X
1297,mazowieckie,zwoleński,Tczów,wiejska,OPS,301436042000,16,16,X,X,X,X
1298,mazowieckie,zwoleński,Zwoleń,miejsko-wiejska,OPS,301436053000,2,2,X,X,X,X
1299,mazowieckie,żuromiński,Bieżuń,miejsko-wiejska,OPS,301437013000,6,6,X,X,X,X
1300,mazowieckie,żuromiński,Kuczbork-Osada,wiejska,OPS,301437022000,2,2,X,X,X,X
1301,mazowieckie,żuromiński,Lubowidz,wiejska,OPS,301437032000,4,4,X,X,X,X
1302,mazowieckie,żuromiński,Lutocin,wiejska,OPS,301437042000,0,0,X,X,X,X
1303,mazowieckie,żuromiński,Siemiątkowo,wiejska,OPS,301437052000,5,5,X,X,X,X
1304,mazowieckie,żuromiński,Żuromin,miejsko-wiejska,OPS,301437063000,6,6,X,X,X,X
1305,mazowieckie,żyrardowski,Mszczonów,miejsko-wiejska,OPS,301438023000,2,2,X,X,X,X
1306,mazowieckie,żyrardowski,Puszcza Mariańska,wiejska,OPS,301438032000,29,29,X,X,X,X
1307,mazowieckie,żyrardowski,Radziejowice,wiejska,OPS,301438042000,12,12,X,X,X,X
1308,mazowieckie,żyrardowski,Wiskitki,wiejska,OPS,301438052000,20,20,X,X,X,X
1309,mazowieckie,żyrardowski,Żyrardów,miejska,OPS,301438011000,25,25,X,X,X,X
1310,opolskie,-,-,-,WPS,101600000000,1291,1291,X,X,X,X
1311,opolskie,brzeski,Brzeg,miejska,OPS,301601011000,35,35,X,X,X,X
1312,opolskie,brzeski,Grodków,miejsko-wiejska,OPS,301601033000,22,22,X,X,X,X
1313,opolskie,brzeski,Lewin Brzeski,miejsko-wiejska,OPS,301601043000,7,7,X,X,X,X
1314,opolskie,brzeski,Lubsza,wiejska,OPS,301601052000,17,17,X,X,X,X
1315,opolskie,brzeski,Olszanka,wiejska,OPS,301601062000,5,5,X,X,X,X
1316,opolskie,brzeski,Skarbimierz,wiejska,OPS,301601022000,21,21,X,X,X,X
1317,opolskie,głubczycki,Baborów,miejsko-wiejska,OPS,301602013000,8,8,X,X,X,X
1318,opolskie,głubczycki,Branice,wiejska,OPS,301602022000,8,8,X,X,X,X
1319,opolskie,głubczycki,Głubczyce,miejsko-wiejska,OPS,301602033000,49,49,X,X,X,X
1320,opolskie,głubczycki,Kietrz,miejsko-wiejska,OPS,301602043000,8,8,X,X,X,X
1321,opolskie,kędzierzyńsko-kozielski,Bierawa,wiejska,OPS,301603022000,8,8,X,X,X,X
1322,opolskie,kędzierzyńsko-kozielski,Cisek,wiejska,OPS,301603032000,6,6,X,X,X,X
1323,opolskie,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,miejska,OPS,301603011000,76,76,X,X,X,X
1324,opolskie,kędzierzyńsko-kozielski,Pawłowiczki,wiejska,OPS,301603042000,8,8,X,X,X,X
1325,opolskie,kędzierzyńsko-kozielski,Polska Cerekiew,wiejska,OPS,301603052000,8,8,X,X,X,X
1326,opolskie,kędzierzyńsko-kozielski,Reńska Wieś,wiejska,OPS,301603062000,9,9,X,X,X,X
1327,opolskie,kluczborski,Byczyna,miejsko-wiejska,OPS,301604013000,19,19,X,X,X,X
1328,opolskie,kluczborski,Kluczbork,miejsko-wiejska,OPS,301604023000,45,45,X,X,X,X
1329,opolskie,kluczborski,Lasowice Wielkie,wiejska,OPS,301604032000,2,2,X,X,X,X
1330,opolskie,kluczborski,Wołczyn,miejsko-wiejska,OPS,301604043000,5,5,X,X,X,X
1331,opolskie,krapkowicki,Gogolin,miejsko-wiejska,OPS,301605013000,15,15,X,X,X,X
1332,opolskie,krapkowicki,Krapkowice,miejsko-wiejska,OPS,301605023000,52,52,X,X,X,X
1333,opolskie,krapkowicki,Strzeleczki,wiejska,OPS,301605032000,11,11,X,X,X,X
1334,opolskie,krapkowicki,Walce,wiejska,OPS,301605042000,6,6,X,X,X,X
1335,opolskie,krapkowicki,Zdzieszowice,miejsko-wiejska,OPS,301605053000,19,19,X,X,X,X
1336,opolskie,namysłowski,Domaszowice,wiejska,OPS,301606012000,4,4,X,X,X,X
1337,opolskie,namysłowski,Namysłów,miejsko-wiejska,OPS,301606023000,63,63,X,X,X,X
1338,opolskie,namysłowski,Pokój,wiejska,OPS,301606032000,5,5,X,X,X,X
1339,opolskie,namysłowski,Świerczów,wiejska,OPS,301606042000,1,1,X,X,X,X
1340,opolskie,namysłowski,Wilków,wiejska,OPS,301606052000,11,11,X,X,X,X
1341,opolskie,nyski,Głuchołazy,miejsko-wiejska,OPS,301607013000,30,30,X,X,X,X
1342,opolskie,nyski,Kamiennik,wiejska,OPS,301607022000,4,4,X,X,X,X
1343,opolskie,nyski,Korfantów,miejsko-wiejska,OPS,301607033000,21,21,X,X,X,X
1344,opolskie,nyski,Łambinowice,wiejska,OPS,301607042000,22,22,X,X,X,X
1345,opolskie,nyski,Nysa,miejsko-wiejska,OPS,301607053000,116,116,X,X,X,X
1346,opolskie,nyski,Otmuchów,miejsko-wiejska,OPS,301607063000,38,38,X,X,X,X
1347,opolskie,nyski,Paczków,miejsko-wiejska,OPS,301607073000,2,2,X,X,X,X
1348,opolskie,nyski,Pakosławice,wiejska,OPS,301607082000,4,4,X,X,X,X
1349,opolskie,nyski,Skoroszyce,wiejska,OPS,301607092000,28,28,X,X,X,X
1350,opolskie,oleski,Dobrodzień,miejsko-wiejska,OPS,301608013000,7,7,X,X,X,X
1351,opolskie,oleski,Gorzów Śląski,miejsko-wiejska,OPS,301608023000,10,10,X,X,X,X
1352,opolskie,oleski,Olesno,miejsko-wiejska,OPS,301608033000,29,29,X,X,X,X
1353,opolskie,oleski,Praszka,miejsko-wiejska,OPS,301608043000,21,21,X,X,X,X
1354,opolskie,oleski,Radłów,wiejska,OPS,301608052000,0,0,X,X,X,X
1355,opolskie,oleski,Rudniki,wiejska,OPS,301608062000,19,19,X,X,X,X
1356,opolskie,oleski,Zębowice,wiejska,OPS,301608072000,3,3,X,X,X,X
1357,opolskie,m. Opole,M. Opole,miejska,MOPR,251661011000,108,108,X,X,X,X
1358,opolskie,opolski,Chrząstowice,wiejska,OPS,301609012000,9,9,X,X,X,X
1359,opolskie,opolski,Dąbrowa,wiejska,OPS,301609022000,9,9,X,X,X,X
1360,opolskie,opolski,Dobrzeń Wielki,wiejska,OPS,301609032000,9,9,X,X,X,X
1361,opolskie,opolski,Komprachcice,wiejska,OPS,301609042000,9,9,X,X,X,X
1362,opolskie,opolski,Łubniany,wiejska,OPS,301609052000,10,10,X,X,X,X
1363,opolskie,opolski,Murów,wiejska,OPS,301609062000,2,2,X,X,X,X
1364,opolskie,opolski,Niemodlin,miejsko-wiejska,OPS,301609073000,15,15,X,X,X,X
1365,opolskie,opolski,Ozimek,miejsko-wiejska,OPS,301609083000,14,14,X,X,X,X
1366,opolskie,opolski,Popielów,wiejska,OPS,301609092000,1,1,X,X,X,X
1367,opolskie,opolski,Prószków,miejsko-wiejska,OPS,301609103000,10,10,X,X,X,X
1368,opolskie,opolski,Tarnów Opolski,wiejska,OPS,301609112000,19,19,X,X,X,X
1369,opolskie,opolski,Tułowice,miejsko-wiejska,OPS,301609122000,8,8,X,X,X,X
1370,opolskie,opolski,Turawa,wiejska,OPS,301609132000,19,19,X,X,X,X
1371,opolskie,prudnicki,Biała,miejsko-wiejska,OPS,301610013000,10,10,X,X,X,X
1372,opolskie,prudnicki,Głogówek,miejsko-wiejska,OPS,301610023000,13,13,X,X,X,X
1373,opolskie,prudnicki,Lubrza,wiejska,OPS,301610032000,6,6,X,X,X,X
1374,opolskie,prudnicki,Prudnik,miejsko-wiejska,OPS,301610043000,56,56,X,X,X,X
1375,opolskie,strzelecki,Izbicko,wiejska,OPS,301611012000,10,10,X,X,X,X
1376,opolskie,strzelecki,Jemielnica,wiejska,OPS,301611022000,12,12,X,X,X,X
1377,opolskie,strzelecki,Kolonowskie,miejsko-wiejska,OPS,301611033000,8,8,X,X,X,X
1378,opolskie,strzelecki,Leśnica,miejsko-wiejska,OPS,301611043000,8,8,X,X,X,X
1379,opolskie,strzelecki,Strzelce Opolskie,miejsko-wiejska,OPS,301611053000,7,7,X,X,X,X
1380,opolskie,strzelecki,Ujazd,miejsko-wiejska,OPS,301611063000,0,0,X,X,X,X
1381,opolskie,strzelecki,Zawadzkie,miejsko-wiejska,OPS,301611073000,12,12,X,X,X,X
1382,podkarpackie,-,-,-,WPS,101800000000,3186,3186,X,X,X,X
1383,podkarpackie,bieszczadzki,Czarna,wiejska,OPS,301801032000,0,0,X,X,X,X
1384,podkarpackie,bieszczadzki,Lutowiska,wiejska,OPS,301801052000,0,0,X,X,X,X
1385,podkarpackie,bieszczadzki,Ustrzyki Dolne,miejsko-wiejska,OPS,301801083000,25,25,X,X,X,X
1386,podkarpackie,brzozowski,Brzozów,miejsko-wiejska,OPS,301802013000,40,40,X,X,X,X
1387,podkarpackie,brzozowski,Domaradz,wiejska,OPS,301802022000,9,9,X,X,X,X
1388,podkarpackie,brzozowski,Dydnia,wiejska,OPS,301802032000,19,19,X,X,X,X
1389,podkarpackie,brzozowski,Haczów,wiejska,OPS,301802042000,17,17,X,X,X,X
1390,podkarpackie,brzozowski,Jasienica Rosielna,wiejska,OPS,301802052000,3,3,X,X,X,X
1391,podkarpackie,brzozowski,Nozdrzec,wiejska,OPS,301802062000,12,12,X,X,X,X
1392,podkarpackie,dębicki,Brzostek,miejsko-wiejska,OPS,301803023000,12,12,X,X,X,X
1393,podkarpackie,dębicki,Czarna,wiejska,OPS,301803032000,15,15,X,X,X,X
1394,podkarpackie,dębicki,Dębica,miejska,OPS,301803011000,150,150,X,X,X,X
1395,podkarpackie,dębicki,Dębica,wiejska,OPS,301803042000,46,46,X,X,X,X
1396,podkarpackie,dębicki,Jodłowa,wiejska,OPS,301803052000,11,11,X,X,X,X
1397,podkarpackie,dębicki,Pilzno,miejsko-wiejska,OPS,301803063000,20,20,X,X,X,X
1398,podkarpackie,dębicki,Żyraków,wiejska,OPS,301803072000,30,30,X,X,X,X
1399,podkarpackie,jarosławski,Chłopice,wiejska,OPS,301804032000,7,7,X,X,X,X
1400,podkarpackie,jarosławski,Jarosław,miejska,OPS,301804011000,40,40,X,X,X,X
1401,podkarpackie,jarosławski,Jarosław,wiejska,OPS,301804042000,20,20,X,X,X,X
1402,podkarpackie,jarosławski,Laszki,wiejska,OPS,301804052000,23,23,X,X,X,X
1403,podkarpackie,jarosławski,Pawłosiów,wiejska,OPS,301804062000,16,16,X,X,X,X
1404,podkarpackie,jarosławski,Pruchnik,miejsko-wiejska,OPS,301804073000,18,18,X,X,X,X
1405,podkarpackie,jarosławski,Radymno,miejska,OPS,301804021000,8,8,X,X,X,X
1406,podkarpackie,jarosławski,Radymno,wiejska,OPS,301804082000,10,10,X,X,X,X
1407,podkarpackie,jarosławski,Rokietnica,wiejska,OPS,301804092000,3,3,X,X,X,X
1408,podkarpackie,jarosławski,Roźwienica,wiejska,OPS,301804102000,17,17,X,X,X,X
1409,podkarpackie,jarosławski,Wiązownica,wiejska,OPS,301804112000,1,1,X,X,X,X
1410,podkarpackie,jasielski,Brzyska,wiejska,OPS,301805022000,13,13,X,X,X,X
1411,podkarpackie,jasielski,Dębowiec,wiejska,OPS,301805032000,13,13,X,X,X,X
1412,podkarpackie,jasielski,Jasło,miejska,OPS,301805011000,46,46,X,X,X,X
1413,podkarpackie,jasielski,Jasło,wiejska,OPS,301805042000,18,18,X,X,X,X
1414,podkarpackie,jasielski,Kołaczyce,miejsko-wiejska,OPS,301805053000,15,15,X,X,X,X
1415,podkarpackie,jasielski,Krempna,wiejska,OPS,301805062000,1,1,X,X,X,X
1416,podkarpackie,jasielski,Nowy Żmigród,wiejska,OPS,301805072000,8,8,X,X,X,X
1417,podkarpackie,jasielski,Osiek Jasielski,wiejska,OPS,301805082000,10,10,X,X,X,X
1418,podkarpackie,jasielski,Skołyszyn,wiejska,OPS,301805092000,22,22,X,X,X,X
1419,podkarpackie,jasielski,Tarnowiec,wiejska,OPS,301805112000,4,4,X,X,X,X
1420,podkarpackie,kolbuszowski,Cmolas,wiejska,OPS,301806012000,5,5,X,X,X,X
1421,podkarpackie,kolbuszowski,Dzikowiec,wiejska,OPS,301806062000,10,10,X,X,X,X
1422,podkarpackie,kolbuszowski,Kolbuszowa,miejsko-wiejska,OPS,301806023000,56,56,X,X,X,X
1423,podkarpackie,kolbuszowski,Majdan Królewski,wiejska,OPS,301806032000,7,7,X,X,X,X
1424,podkarpackie,kolbuszowski,Niwiska,wiejska,OPS,301806042000,14,14,X,X,X,X
1425,podkarpackie,kolbuszowski,Raniżów,wiejska,OPS,301806052000,18,18,X,X,X,X
1426,podkarpackie,m. Krosno,M. Krosno,miejska,MOPR,251861011000,76,76,X,X,X,X
1427,podkarpackie,krośnieński,Chorkówka,wiejska,OPS,301807012000,0,0,X,X,X,X
1428,podkarpackie,krośnieński,Dukla,miejsko-wiejska,OPS,301807023000,11,11,X,X,X,X
1429,podkarpackie,krośnieński,Iwonicz-Zdrój,miejsko-wiejska,OPS,301807033000,4,4,X,X,X,X
1430,podkarpackie,krośnieński,Jaśliska,wiejska,OPS,301807102000,12,12,X,X,X,X
1431,podkarpackie,krośnieński,Jedlicze,miejsko-wiejska,OPS,301807043000,35,35,X,X,X,X
1432,podkarpackie,krośnieński,Korczyna,wiejska,OPS,301807052000,35,35,X,X,X,X
1433,podkarpackie,krośnieński,Krościenko Wyżne,wiejska,OPS,301807062000,15,15,X,X,X,X
1434,podkarpackie,krośnieński,Miejsce Piastowe,wiejska,OPS,301807072000,32,32,X,X,X,X
1435,podkarpackie,krośnieński,Rymanów,miejsko-wiejska,OPS,301807083000,7,7,X,X,X,X
1436,podkarpackie,krośnieński,Wojaszówka,wiejska,OPS,301807092000,15,15,X,X,X,X
1437,podkarpackie,leski,Baligród,wiejska,OPS,301821012000,8,8,X,X,X,X
1438,podkarpackie,leski,Cisna,wiejska,OPS,301821022000,3,3,X,X,X,X
1439,podkarpackie,leski,Lesko,miejsko-wiejska,OPS,301821033000,30,30,X,X,X,X
1440,podkarpackie,leski,Olszanica,wiejska,OPS,301821042000,5,5,X,X,X,X
1441,podkarpackie,leski,Solina,wiejska,OPS,301821052000,2,2,X,X,X,X
1442,podkarpackie,leżajski,Grodzisko Dolne,wiejska,OPS,301808022000,7,7,X,X,X,X
1443,podkarpackie,leżajski,Kuryłówka,wiejska,OPS,301808032000,19,19,X,X,X,X
1444,podkarpackie,leżajski,Leżajsk,miejska,OPS,301808011000,14,14,X,X,X,X
1445,podkarpackie,leżajski,Leżajsk,wiejska,OPS,301808042000,37,37,X,X,X,X
1446,podkarpackie,leżajski,Nowa Sarzyna,miejsko-wiejska,OPS,301808053000,30,30,X,X,X,X
1447,podkarpackie,lubaczowski,Cieszanów,miejsko-wiejska,OPS,301809023000,13,13,X,X,X,X
1448,podkarpackie,lubaczowski,Horyniec-Zdrój,wiejska,OPS,301809032000,0,0,X,X,X,X
1449,podkarpackie,lubaczowski,Lubaczów,miejska,OPS,301809011000,5,5,X,X,X,X
1450,podkarpackie,lubaczowski,Lubaczów,wiejska,OPS,301809042000,12,12,X,X,X,X
1451,podkarpackie,lubaczowski,Narol,miejsko-wiejska,OPS,301809053000,14,14,X,X,X,X
1452,podkarpackie,lubaczowski,Oleszyce,miejsko-wiejska,OPS,301809063000,5,5,X,X,X,X
1453,podkarpackie,lubaczowski,Stary Dzików,wiejska,OPS,301809072000,8,8,X,X,X,X
1454,podkarpackie,lubaczowski,Wielkie Oczy,wiejska,OPS,301809082000,8,8,X,X,X,X
1455,podkarpackie,łańcucki,Białobrzegi,wiejska,OPS,301810022000,11,11,X,X,X,X
1456,podkarpackie,łańcucki,Czarna,wiejska,OPS,301810032000,20,20,X,X,X,X
1457,podkarpackie,łańcucki,Łańcut,miejska,OPS,301810011000,37,37,X,X,X,X
1458,podkarpackie,łańcucki,Łańcut,wiejska,OPS,301810042000,8,8,X,X,X,X
1459,podkarpackie,łańcucki,Markowa,wiejska,OPS,301810052000,0,0,X,X,X,X
1460,podkarpackie,łańcucki,Rakszawa,wiejska,OPS,301810062000,11,11,X,X,X,X
1461,podkarpackie,łańcucki,Żołynia,wiejska,OPS,301810072000,19,19,X,X,X,X
1462,podkarpackie,mielecki,Borowa,wiejska,OPS,301811022000,9,9,X,X,X,X
1463,podkarpackie,mielecki,Czermin,wiejska,OPS,301811032000,15,15,X,X,X,X
1464,podkarpackie,mielecki,Gawłuszowice,wiejska,OPS,301811042000,4,4,X,X,X,X
1465,podkarpackie,mielecki,Mielec,miejska,OPS,301811011000,106,106,X,X,X,X
1466,podkarpackie,mielecki,Mielec,wiejska,OPS,301811052000,8,8,X,X,X,X
1467,podkarpackie,mielecki,Padew Narodowa,wiejska,OPS,301811062000,18,18,X,X,X,X
1468,podkarpackie,mielecki,Przecław,miejsko-wiejska,OPS,301811073000,23,23,X,X,X,X
1469,podkarpackie,mielecki,Radomyśl Wielki,miejsko-wiejska,OPS,301811083000,0,0,X,X,X,X
1470,podkarpackie,mielecki,Tuszów Narodowy,wiejska,OPS,301811092000,19,19,X,X,X,X
1471,podkarpackie,mielecki,Wadowice Górne,wiejska,OPS,301811102000,11,11,X,X,X,X
1472,podkarpackie,niżański,Harasiuki,wiejska,OPS,301812012000,7,7,X,X,X,X
1473,podkarpackie,niżański,Jarocin,wiejska,OPS,301812022000,13,13,X,X,X,X
1474,podkarpackie,niżański,Jeżowe,wiejska,OPS,301812032000,5,5,X,X,X,X
1475,podkarpackie,niżański,Krzeszów,wiejska,OPS,301812042000,2,2,X,X,X,X
1476,podkarpackie,niżański,Nisko,miejsko-wiejska,OPS,301812053000,45,45,X,X,X,X
1477,podkarpackie,niżański,Rudnik nad Sanem,miejsko-wiejska,OPS,301812063000,36,36,X,X,X,X
1478,podkarpackie,niżański,Ulanów,miejsko-wiejska,OPS,301812073000,4,4,X,X,X,X
1479,podkarpackie,przemyski,Bircza,wiejska,OPS,301813012000,0,0,X,X,X,X
1480,podkarpackie,przemyski,Dubiecko,wiejska,OPS,301813022000,0,0,X,X,X,X
1481,podkarpackie,przemyski,Fredropol,wiejska,OPS,301813032000,5,5,X,X,X,X
1482,podkarpackie,przemyski,Krasiczyn,wiejska,OPS,301813042000,14,14,X,X,X,X
1483,podkarpackie,przemyski,Krzywcza,wiejska,OPS,301813052000,5,5,X,X,X,X
1484,podkarpackie,przemyski,Medyka,wiejska,OPS,301813062000,14,14,X,X,X,X
1485,podkarpackie,przemyski,Orły,wiejska,OPS,301813072000,4,4,X,X,X,X
1486,podkarpackie,przemyski,Przemyśl,wiejska,OPS,301813082000,19,19,X,X,X,X
1487,podkarpackie,przemyski,Stubno,wiejska,OPS,301813092000,5,5,X,X,X,X
1488,podkarpackie,przemyski,Żurawica,wiejska,OPS,301813102000,7,7,X,X,X,X
1489,podkarpackie,m. Przemyśl,M. Przemyśl,miejska,MOPR,251862011000,144,144,X,X,X,X
1490,podkarpackie,przeworski,Adamówka,wiejska,OPS,301814022000,8,8,X,X,X,X
1491,podkarpackie,przeworski,Gać,wiejska,OPS,301814032000,0,0,X,X,X,X
1492,podkarpackie,przeworski,Jawornik Polski,wiejska,OPS,301814042000,2,2,X,X,X,X
1493,podkarpackie,przeworski,Kańczuga,miejsko-wiejska,OPS,301814053000,0,0,X,X,X,X
1494,podkarpackie,przeworski,Przeworsk,miejska,OPS,301814011000,15,15,X,X,X,X
1495,podkarpackie,przeworski,Przeworsk,wiejska,OPS,301814062000,0,0,X,X,X,X
1496,podkarpackie,przeworski,Sieniawa,miejsko-wiejska,OPS,301814073000,16,16,X,X,X,X
1497,podkarpackie,przeworski,Tryńcza,wiejska,OPS,301814082000,2,2,X,X,X,X
1498,podkarpackie,przeworski,Zarzecze,wiejska,OPS,301814092000,9,9,X,X,X,X
1499,podkarpackie,ropczycko-sędziszowski,Iwierzyce,wiejska,OPS,301815012000,0,0,X,X,X,X
1500,podkarpackie,ropczycko-sędziszowski,Ostrów,wiejska,OPS,301815022000,6,6,X,X,X,X
1501,podkarpackie,ropczycko-sędziszowski,Ropczyce,miejsko-wiejska,OPS,301815033000,16,16,X,X,X,X
1502,podkarpackie,ropczycko-sędziszowski,Sędziszów Małopolski,miejsko-wiejska,OPS,301815043000,9,9,X,X,X,X
1503,podkarpackie,ropczycko-sędziszowski,Wielopole Skrzyńskie,wiejska,OPS,301815052000,13,13,X,X,X,X
1504,podkarpackie,rzeszowski,Błażowa,miejsko-wiejska,OPS,301816023000,18,18,X,X,X,X
1505,podkarpackie,rzeszowski,Boguchwała,miejsko-wiejska,OPS,301816033000,11,11,X,X,X,X
1506,podkarpackie,rzeszowski,Chmielnik,wiejska,OPS,301816042000,1,1,X,X,X,X
1507,podkarpackie,rzeszowski,Dynów,miejska,OPS,301816011000,6,6,X,X,X,X
1508,podkarpackie,rzeszowski,Dynów,wiejska,OPS,301816052000,4,4,X,X,X,X
1509,podkarpackie,rzeszowski,Głogów Małopolski,miejsko-wiejska,OPS,301816063000,29,29,X,X,X,X
1510,podkarpackie,rzeszowski,Hyżne,wiejska,OPS,301816072000,11,11,X,X,X,X
1511,podkarpackie,rzeszowski,Kamień,wiejska,OPS,301816082000,10,10,X,X,X,X
1512,podkarpackie,rzeszowski,Krasne,wiejska,OPS,301816092000,26,26,X,X,X,X
1513,podkarpackie,rzeszowski,Lubenia,wiejska,OPS,301816102000,17,17,X,X,X,X
1514,podkarpackie,rzeszowski,Sokołów Małopolski,miejsko-wiejska,OPS,301816113000,7,7,X,X,X,X
1515,podkarpackie,rzeszowski,Świlcza,wiejska,OPS,301816122000,27,27,X,X,X,X
1516,podkarpackie,rzeszowski,Trzebownisko,wiejska,OPS,301816132000,24,24,X,X,X,X
1517,podkarpackie,rzeszowski,Tyczyn,miejsko-wiejska,OPS,301816143000,15,15,X,X,X,X
1518,podkarpackie,m. Rzeszów,M. Rzeszów,miejska,MOPR,251863011000,395,395,X,X,X,X
1519,podkarpackie,sanocki,Besko,wiejska,OPS,301817022000,8,8,X,X,X,X
1520,podkarpackie,sanocki,Bukowsko,wiejska,OPS,301817032000,11,11,X,X,X,X
1521,podkarpackie,sanocki,Komańcza,wiejska,OPS,301817042000,4,4,X,X,X,X
1522,podkarpackie,sanocki,Sanok,miejska,OPS,301817011000,48,48,X,X,X,X
1523,podkarpackie,sanocki,Sanok,wiejska,OPS,301817052000,43,43,X,X,X,X
1524,podkarpackie,sanocki,Tyrawa Wołoska,wiejska,OPS,301817062000,5,5,X,X,X,X
1525,podkarpackie,sanocki,Zagórz,miejsko-wiejska,OPS,301817073000,22,22,X,X,X,X
1526,podkarpackie,sanocki,Zarszyn,wiejska,OPS,301817082000,17,17,X,X,X,X
1527,podkarpackie,stalowowolski,Bojanów,wiejska,OPS,301818022000,14,14,X,X,X,X
1528,podkarpackie,stalowowolski,Pysznica,wiejska,OPS,301818032000,11,11,X,X,X,X
1529,podkarpackie,stalowowolski,Radomyśl nad Sanem,wiejska,OPS,301818042000,2,2,X,X,X,X
1530,podkarpackie,stalowowolski,Stalowa Wola,miejska,OPS,301818011000,100,100,X,X,X,X
1531,podkarpackie,stalowowolski,Zaklików,miejsko-wiejska,OPS,301818052000,6,6,X,X,X,X
1532,podkarpackie,stalowowolski,Zaleszany,wiejska,OPS,301818062000,17,17,X,X,X,X
1533,podkarpackie,strzyżowski,Czudec,wiejska,OPS,301819012000,10,10,X,X,X,X
1534,podkarpackie,strzyżowski,Frysztak,wiejska,OPS,301819022000,5,5,X,X,X,X
1535,podkarpackie,strzyżowski,Niebylec,wiejska,OPS,301819032000,2,2,X,X,X,X
1536,podkarpackie,strzyżowski,Strzyżów,miejsko-wiejska,OPS,301819043000,33,33,X,X,X,X
1537,podkarpackie,strzyżowski,Wiśniowa,wiejska,OPS,301819052000,0,0,X,X,X,X
1538,podkarpackie,m. Tarnobrzeg,M. Tarnobrzeg,miejska,MOPR,251864011000,55,55,X,X,X,X
1539,podkarpackie,tarnobrzeski,Baranów Sandomierski,miejsko-wiejska,OPS,301820013000,28,28,X,X,X,X
1540,podkarpackie,tarnobrzeski,Gorzyce,wiejska,OPS,301820022000,32,32,X,X,X,X
1541,podkarpackie,tarnobrzeski,Grębów,wiejska,OPS,301820032000,30,30,X,X,X,X
1542,podkarpackie,tarnobrzeski,Nowa Dęba,miejsko-wiejska,OPS,301820043000,44,44,X,X,X,X
1543,podlaskie,-,-,-,WPS,102000000000,2314,2314,X,X,X,X
1544,podlaskie,augustowski,Augustów,miejska,OPS,302001011000,65,65,X,X,X,X
1545,podlaskie,augustowski,Augustów,wiejska,OPS,302001022000,9,9,X,X,X,X
1546,podlaskie,augustowski,Bargłów Kościelny,wiejska,OPS,302001032000,12,12,X,X,X,X
1547,podlaskie,augustowski,Lipsk,miejsko-wiejska,OPS,302001043000,18,18,X,X,X,X
1548,podlaskie,augustowski,Nowinka,wiejska,OPS,302001052000,8,8,X,X,X,X
1549,podlaskie,augustowski,Płaska,wiejska,OPS,302001062000,2,2,X,X,X,X
1550,podlaskie,augustowski,Sztabin,wiejska,OPS,302001072000,24,24,X,X,X,X
1551,podlaskie,białostocki,Choroszcz,miejsko-wiejska,OPS,302002013000,24,24,X,X,X,X
1552,podlaskie,białostocki,Czarna Białostocka,miejsko-wiejska,OPS,302002023000,22,22,X,X,X,X
1553,podlaskie,białostocki,Dobrzyniewo Duże,wiejska,OPS,302002032000,19,19,X,X,X,X
1554,podlaskie,białostocki,Gródek,wiejska,OPS,302002042000,10,10,X,X,X,X
1555,podlaskie,białostocki,Juchnowiec Kościelny,wiejska,OPS,302002052000,41,41,X,X,X,X
1556,podlaskie,białostocki,Łapy,miejsko-wiejska,OPS,302002063000,3,3,X,X,X,X
1557,podlaskie,białostocki,Michałowo,miejsko-wiejska,OPS,302002073000,14,14,X,X,X,X
1558,podlaskie,białostocki,Poświętne,wiejska,OPS,302002082000,3,3,X,X,X,X
1559,podlaskie,białostocki,Supraśl,miejsko-wiejska,OPS,302002093000,45,45,X,X,X,X
1560,podlaskie,białostocki,Suraż,miejsko-wiejska,OPS,302002103000,8,8,X,X,X,X
1561,podlaskie,białostocki,Turośń Kościelna,wiejska,OPS,302002112000,14,14,X,X,X,X
1562,podlaskie,białostocki,Tykocin,miejsko-wiejska,OPS,302002123000,1,1,X,X,X,X
1563,podlaskie,białostocki,Wasilków,miejsko-wiejska,OPS,302002133000,18,18,X,X,X,X
1564,podlaskie,białostocki,Zabłudów,miejsko-wiejska,OPS,302002143000,17,17,X,X,X,X
1565,podlaskie,białostocki,Zawady,wiejska,OPS,302002152000,4,4,X,X,X,X
1566,podlaskie,m. Białystok,M. Białystok,miejska,MOPR,252061011000,738,738,X,X,X,X
1567,podlaskie,bielski,Bielsk Podlaski,miejska,OPS,302003011000,80,80,X,X,X,X
1568,podlaskie,bielski,Bielsk Podlaski,wiejska,OPS,302003032000,6,6,X,X,X,X
1569,podlaskie,bielski,Boćki,wiejska,OPS,302003042000,16,16,X,X,X,X
