LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
196,kujawsko - pomorskie,bydgoski,Dobrcz,wiejska,OPS,300403032000,15,15,X,X,X,X
197,kujawsko - pomorskie,bydgoski,Koronowo,miejsko-wiejska,OPS,300403043000,90,90,X,X,X,X
198,kujawsko - pomorskie,bydgoski,Nowa Wieś Wielka,wiejska,OPS,300403052000,36,36,X,X,X,X
199,kujawsko - pomorskie,bydgoski,Osielsko,wiejska,OPS,300403062000,34,34,X,X,X,X
200,kujawsko - pomorskie,bydgoski,Sicienko,wiejska,OPS,300403072000,6,6,X,X,X,X
201,kujawsko - pomorskie,bydgoski,Solec Kujawski,miejsko-wiejska,OPS,300403083000,25,25,X,X,X,X
202,kujawsko - pomorskie,m. Bydgoszcz,M. Bydgoszcz,miejska,MOPR,250461011000,574,574,X,X,X,X
203,kujawsko - pomorskie,chełmiński,Chełmno,miejska,OPS,300404011000,38,38,X,X,X,X
204,kujawsko - pomorskie,chełmiński,Chełmno,wiejska,OPS,300404022000,7,7,X,X,X,X
205,kujawsko - pomorskie,chełmiński,Kijewo Królewskie,wiejska,OPS,300404032000,4,4,X,X,X,X
206,kujawsko - pomorskie,chełmiński,Lisewo,wiejska,OPS,300404042000,8,8,X,X,X,X
207,kujawsko - pomorskie,chełmiński,Papowo Biskupie,wiejska,OPS,300404052000,1,1,X,X,X,X
208,kujawsko - pomorskie,chełmiński,Stolno,wiejska,OPS,300404062000,7,7,X,X,X,X
209,kujawsko - pomorskie,chełmiński,Unisław,wiejska,OPS,300404072000,3,3,X,X,X,X
210,kujawsko - pomorskie,golubsko-dobrzyński,Ciechocin,wiejska,OPS,300405022000,4,4,X,X,X,X
211,kujawsko - pomorskie,golubsko-dobrzyński,Golub-Dobrzyń,miejska,OPS,300405011000,26,26,X,X,X,X
212,kujawsko - pomorskie,golubsko-dobrzyński,Golub-Dobrzyń,wiejska,OPS,300405032000,14,14,X,X,X,X
213,kujawsko - pomorskie,golubsko-dobrzyński,Kowalewo Pomorskie,miejsko-wiejska,OPS,300405043000,33,33,X,X,X,X
214,kujawsko - pomorskie,golubsko-dobrzyński,Radomin,wiejska,OPS,300405052000,4,4,X,X,X,X
215,kujawsko - pomorskie,golubsko-dobrzyński,Zbójno,wiejska,OPS,300405062000,17,17,X,X,X,X
216,kujawsko - pomorskie,m. Grudziądz,M. Grudziądz,miejska,MOPR,250462011000,295,295,X,X,X,X
217,kujawsko - pomorskie,grudziądzki,Grudziądz,wiejska,OPS,300406012000,18,18,X,X,X,X
218,kujawsko - pomorskie,grudziądzki,Gruta,wiejska,OPS,300406022000,5,5,X,X,X,X
219,kujawsko - pomorskie,grudziądzki,Łasin,miejsko-wiejska,OPS,300406033000,26,26,X,X,X,X
220,kujawsko - pomorskie,grudziądzki,Radzyń Chełmiński,miejsko-wiejska,OPS,300406043000,4,4,X,X,X,X
221,kujawsko - pomorskie,grudziądzki,Rogóźno,wiejska,OPS,300406052000,8,8,X,X,X,X
222,kujawsko - pomorskie,grudziądzki,Świecie nad Osą,wiejska,OPS,300406062000,12,12,X,X,X,X
223,kujawsko - pomorskie,inowrocławski,Dąbrowa Biskupia,wiejska,OPS,300407022000,22,22,X,X,X,X
224,kujawsko - pomorskie,inowrocławski,Gniewkowo,miejsko-wiejska,OPS,300407033000,36,36,X,X,X,X
225,kujawsko - pomorskie,inowrocławski,Inowrocław,miejska,OPS,300407011000,129,129,X,X,X,X
